Whistle,Duration,Center_Freq,Low_Freq,Delta_Freq,Max_Freq,Inflections
Concave,0.761,11197.3,7289.3,14760.7,9302.3,1
Concave,1.074,9302.3,3150,18900,3273,1
Concave,1.006,8096.5,1457.9,20592.1,3445.3,1
Concave,1.004,12403.1,7836,14214,11197.3,1
Concave,0.851,11197.3,5573.1,16476.9,11369.5,1
Concave,1.077,10335.9,4627.8,17422.2,4651.2,1
Concave,0.943,12575.4,3180.3,18869.7,12747.7,1
Concave,0.18,13781.2,10387.2,8564.9,10680.5,1
Concave,0.135,13609,9776.9,12273.1,13781.2,1
Concave,0.211,13609,9658.3,10751.7,12919.9,1
Concave,0.511,14814.8,8382.6,13667.4,11714.1,1
Concave,0.579,10852.7,8200.4,12574,8441,1
Concave,0.173,13436.7,12307,7691.9,13092.2,1
Concave,0.216,14125.8,11281.4,10768.6,14298,1
Concave,0.483,12058.6,8717.4,13332.6,11886.3,1
Concave,1.366,11714.1,8564.9,13485.1,13609,1
Concave,0.263,10335.9,9111.6,7471.5,9991.4,1
Concave,0.734,9991.4,6560.3,15489.7,9302.3,1
Concave,0.906,10508.2,4920.2,17129.8,9646.9,1
Concave,0.906,10163.7,3234,18816,9474.6,1
Concave,0.992,9130.1,1378.1,20671.9,2411.7,1
Concave,0.793,9646.9,3462.4,16583.1,8613.3,1
Concave,0.104,12058.6,9658.3,6378.1,11886.3,1
Concave,0.155,10680.5,7653.7,6195.9,10508.2,1
Concave,0.399,13953.5,11662.8,8018.2,14470.3,1
Concave,0.162,10163.7,6924.8,8340.6,9819.1,1
Concave,0.123,11541.8,8370.8,10412.5,11025,1
Concave,0.216,13436.7,10205,8747.1,13264.5,1
Concave,0.173,15331.6,12209.5,7471.5,15503.9,1
Concave,0.769,15676.2,9111.6,12574,17398.8,1
Concave,0.249,13092.2,11662.8,9840.5,12403.1,1
Concave,0.463,14987.1,14214,7653.7,14642.6,1
Concave,0.206,13781.2,11366,8865.5,14125.8,1
Concave,0.682,14470.3,12143.5,8308.7,14298,1
Concave,0.785,12747.7,8382.6,13667.4,13264.5,1
Concave,0.64,13264.5,9984.9,12065.1,10508.2,1
Concave,1.037,13092.2,7471.5,14578.5,7579.7,1
Concave,0.778,10680.5,4050,18000,8096.5,1
Concave,0.544,11369.5,9111.6,6560.3,13092.2,1
Concave,0.589,12575.4,9486.6,7691.9,12575.4,1
Concave,0.184,12919.9,12216.9,9833.1,12747.7,1
Concave,1.215,10335.9,6533.3,15516.7,9130.1,1
Concave,0.563,10508.2,6378.1,9840.5,10335.9,1
Concave,0.759,9130.1,2791.1,17584.2,2928.5,1
Concave,0.858,11025,6560.3,12027.3,11197.3,1
Concave,0.894,11714.1,6549.5,13754,14987.1,1
Concave,0.528,12230.9,10022.7,12027.3,11714.1,1
Concave,0.81,8441,5284.7,9840.5,7924.2,1
Concave,2.249,10335.9,4752.2,17297.8,10163.7,1
Concave,0.474,9474.6,4255.3,17794.7,6201.6,1
Concave,0.724,11714.1,7432.6,14617.4,8613.3,1
Concave,0.637,10508.2,6401.6,13158.9,11714.1,1
Concave,0.336,11197.3,8564.9,13302.9,9819.1,1
Concave,0.311,13953.5,9476,12574,13609,1
Concave,0.465,11714.1,9293.8,12756.2,10852.7,1
Concave,0.615,11369.5,4191.3,17858.7,6201.6,1
Concave,0.38,12403.1,7624.8,14425.2,8957.8,1
Concave,0.525,12919.9,8820,13230,8957.8,1
Concave,0.405,15159.4,12158.4,9891.6,12230.9,1
Concave,0.973,11369.5,6742.6,15307.4,7407.4,1
Concave,0.722,10163.7,4725,16800,9130.1,1
Concave,0.687,10335.9,6501.9,14982.7,6546.1,1
Concave,0.861,12058.6,7200,14850,7407.4,1
Concave,0.748,11025,7257,11443.7,7407.4,1
Concave,0.661,11197.3,6300,12250,13264.5,1
Concave,0.742,12230.9,6742.6,15307.4,16365.2,1
Concave,0.632,11197.3,6950.5,15099.5,8613.3,1
Concave,0.81,11025,4704,17346,5340.2,1
Concave,0.746,9646.9,7653.7,13485.1,8613.3,1
Concave,0.747,15159.4,12143.5,7669.6,13609,1
Concave,0.746,11197.3,6917.6,14700,11541.8,1
Concave,0.66,12403.1,7591,12964.1,9646.9,1
Concave,0.881,11541.8,6269.1,15348.5,10508.2,1
Concave,1.085,12230.9,6378.1,15671.9,13953.5,1
Concave,0.843,13264.5,3920,18130,13264.5,1
Concave,0.172,11197.3,4555.8,14031.8,8613.3,1
Concave,0.224,13436.7,9009.7,10195.2,13264.5,1
Concave,0.11,11197.3,8461,8204.7,10852.7,1
Concave,0.427,12403.1,11512.8,8390.7,11886.3,1
Concave,0.803,11886.3,9111.6,12574,11369.5,1
Concave,0.928,10508.2,5649.2,16400.8,14470.3,1
Concave,0.983,10852.7,9658.3,12391.7,10508.2,1
Concave,0.969,10852.7,9214.9,12835.1,11714.1,1
Concave,0.978,13609,8747.1,13302.9,13781.2,1
Concave,0.595,10508.2,5649.2,16400.8,6890.6,1
Concave,0.59,12230.9,6924.8,15125.2,12575.4,1
Concave,0.756,9474.6,4191.3,17858.7,4823.4,1
Concave,0.548,9130.1,3512.4,18537.6,10335.9,1
Concave,0.637,9991.4,6195.9,15854.1,9991.4,1
Concave,0.964,13092.2,7107,14943,13436.7,1
Concave,0.943,11714.1,5824.5,16225.5,6546.1,1
Concave,0.892,12230.9,7289.3,10933.9,11197.3,1
Concave,0.824,13264.5,9293.8,10751.7,15159.4,1
Concave,0.824,13781.2,10768.6,11281.4,11886.3,1
Concave,0.241,12058.6,9840.5,9293.8,11714.1,1
Concave,0.415,13609,10205,8929.3,10680.5,1
Concave,0.642,10335.9,7653.7,14396.3,12230.9,1
Concave,0.94,10508.2,6722.6,15327.4,6890.6,1
Concave,0.607,9130.1,8747.1,13302.9,9130.1,1
Concave,0.661,9646.9,6195.9,15854.1,9819.1,1
Concave,0.554,9302.3,7289.3,8747.1,8957.8,1
Concave,0.645,9474.6,4373.6,17676.4,9991.4,1
Concave,0.827,13264.5,10751.7,8200.4,12230.9,1
Concave,0.597,11714.1,5211.8,14031.8,11541.8,1
Concave,0.344,12575.4,8772.6,10669.4,12058.6,1
Concave,0.564,12747.7,5453.2,13751.6,15331.6,1
Concave,0.539,13264.5,2475,16875,15848.4,1
Concave,0.282,12919.9,12027.3,7795.5,12058.6,1
Concave,0.525,13264.5,10808.8,8430.9,11197.3,1
Concave,0.252,12919.9,11912.1,7350,12919.9,1
Concave,0.227,13092.2,11845,5284.7,13092.2,1
Concave,0.344,12575.4,8041.8,11414.1,11369.5,1
Concave,0.17,14298,12273.1,7072.6,13092.2,1
Concave,0.098,10680.5,9450,5373.5,10852.7,1
Concave,0.174,12230.9,10022.7,8747.1,12058.6,1
Concave,0.15,16020.7,12311.2,7350,17571.1,1
Concave,0.165,13609,6825,14175,13436.7,1
Concave,0.134,15159.4,12486.1,6907.2,14987.1,1
Concave,0.123,14814.8,11025,8018.2,14298,1
Concave,0.165,14298,7691.9,11794.2,14125.8,1
Concave,0.152,14814.8,9230.2,9230.2,14987.1,1
Concave,0.3,14470.3,13569.2,5724.5,14642.6,1
Concave,0.232,13264.5,9450,8550,12575.4,1
Concave,0.253,15331.6,12721.2,6784.6,15159.4,1
Concave,0.557,14642.6,10022.7,9840.5,13609,1
Concave,0.773,12919.9,8067.1,11293.9,13781.2,1
Concave,0.898,11886.3,7427.4,12069.5,7579.7,1
Concave,0.159,12747.7,7736.8,11992.1,12575.4,1
Concave,0.104,14298,11025,8352.3,15159.4,1
Concave,0.701,11197.3,7030.4,12782.6,8441,1
Concave,0.328,13781.2,11287.5,8662.5,13436.7,1
Concave,0.309,12919.9,10218.3,8604.9,11886.3,1
Concave,0.606,12747.7,8628.3,11025,8785.5,1
Concave,0.139,9302.3,7289.3,10022.7,9130.1,1
Concave,0.37,13264.5,9293.8,10022.7,9991.4,1
Concave,0.32,14987.1,11141.1,8123.7,11886.3,1
Concave,0.37,13436.7,7560,12600,7752,1
Concave,0.21,13092.2,6506.6,13374.6,13264.5,1
Concave,0.247,8613.3,4410,14945,4478.9,1
Concave,0.643,7235.2,1781.8,17818.2,1894.9,1
Concave,0.37,12230.9,9800,10150,13609,1
Concave,0.585,12230.9,7253.3,12185.5,12575.4,1
Concave,0.447,12575.4,10855.4,9159.2,12575.4,1
Concave,0.369,14125.8,11845,7289.3,14298,1
Concave,0.357,12403.1,9975,10500,9991.4,1
Concave,0.815,9819.1,7289.3,14760.7,9819.1,1
Concave,0.849,10508.2,7678.1,14371.9,12747.7,1
Concave,0.668,8785.5,3150,18900,9302.3,1
Concave,0.547,17054.3,14214,7653.7,16537.5,1
Concave,0.552,10163.7,6195.9,12209.5,9991.4,1
Concave,0.533,11369.5,6514.8,15284.7,10508.2,1
Concave,1.028,10163.7,4920.2,17129.8,7062.9,1
Concave,0.67,10163.7,5649.2,16400.8,10163.7,1
Concave,0.77,9991.4,4900,17150,9302.3,1
Concave,0.524,9819.1,4191.3,14760.7,4478.9,1
Concave,0.457,11886.3,7223.3,12165.5,11714.1,1
Concave,0.423,13781.2,6125,12556.2,11541.8,1
Concave,0.354,12919.9,10933.9,8382.6,11541.8,1
Concave,0.524,13092.2,11373.2,7659.5,13092.2,1
Concave,0.445,13436.7,7543.4,12185.5,13609,1
Concave,0.509,13436.7,9733.8,9932.4,13953.5,1
Concave,0.18,13092.2,11526.1,8018.2,12575.4,1
Concave,0.527,11714.1,6991.5,15058.5,9991.4,1
Concave,0.224,12230.9,8382.6,9658.3,8957.8,1
Concave,0.296,14298,12893.6,6353.4,13953.5,1
Concave,0.637,13953.5,10584,9261,15159.4,1
Concave,0.665,14642.6,8325,10575,15848.4,1
Concave,0.636,11369.5,6742.6,12209.5,7579.7,1
Concave,0.205,11197.3,9148.4,6098.9,10680.5,1
Concave,0.604,11369.5,9932.4,8343.2,10508.2,1
Concave,0.271,11886.3,6333.5,9852.1,13781.2,1
Concave,0.591,12747.7,8461,11025,10680.5,1
Concave,0.16,14470.3,11977.8,7350,14125.8,1
Concave,0.279,15159.4,12209.5,7653.7,14470.3,1
Concave,0.371,15331.6,13230,5512.5,14987.1,1
Concave,0.972,13436.7,8041.8,11154.7,8441,1
Concave,0.579,12747.7,10800,8325,12058.6,1
Concave,0.172,13092.2,10601,6148.6,12747.7,1
Concave,0.829,12230.9,6904.5,11359.1,7579.7,1
Concave,1.024,14470.3,10933.9,7289.3,16193,1
Concave,0.688,11369.5,8363.8,10454.7,9474.6,1
Concave,0.731,11886.3,8018.2,11025,11541.8,1
Concave,0.636,10335.9,8587.9,7195.3,9474.6,1
Concave,0.891,9819.1,3550.4,18499.6,11369.5,1
Concave,0.468,10508.2,6742.6,15307.4,10335.9,1
Concave,0.383,11197.3,9840.5,5831.4,11541.8,1
Concave,0.828,10852.7,8564.9,6742.6,11025,1
Concave,0.949,11369.5,7938,9702,10335.9,1
Concave,0.949,11886.3,9152.8,8528.8,10163.7,1
Concave,0.918,11714.1,6973.1,15076.9,10163.7,1
Concave,1.249,11886.3,6829.6,15220.4,7752,1
Concave,0.771,10508.2,5069,16981,5168,1
Concave,0.977,13953.5,9124.1,12355.6,11197.3,1
Concave,0.578,12919.9,9840.5,12209.5,11025,1
Concave,0.341,11886.3,10022.7,12027.3,11541.8,1
Concave,0.647,13953.5,10933.9,9476,12058.6,1
Concave,0.941,11886.3,6525,15525,7407.4,1
Concave,0.535,11714.1,8423.6,13626.4,13264.5,1
Concave,0.725,14814.8,9675,12375,13609,1
Concave,0.734,12403.1,8638.1,13411.9,12403.1,1
Concave,0.946,12058.6,7836,14214,11369.5,1
Concave,1.001,13436.7,9253.1,12796.9,12747.7,1
Concave,0.812,11886.3,8747.1,8382.6,9646.9,1
Concave,0.383,11369.5,7836,10569.4,11197.3,1
Concave,0.383,16365.2,13066.7,8983.3,15503.9,1
Concave,0.819,12230.9,5629.8,16420.2,12403.1,1
Concave,0.416,9819.1,7289.3,14760.7,9474.6,1
Concave,0.122,14470.3,9476,10751.7,15159.4,1
Concave,0.354,10335.9,4979,17071,5857,1
Concave,0.931,10680.5,4738,17312,13092.2,1
Concave,0.838,13609,4226.2,17823.8,13609,1
Concave,0.988,11714.1,2733.5,19316.5,10852.7,1
Concave,1.063,9130.1,2427.5,19622.5,4306.6,1
Concave,0.906,9302.3,1863.4,20186.6,2239.5,1
Concave,0.851,9819.1,4478.9,17571.1,5340.2,1
Concave,0.843,10335.9,5102.5,16947.5,9302.3,1
Concave,1.01,11025,4738,17312,5168,1
Concave,0.773,8613.3,3094.7,18955.3,3100.8,1
Concave,1.058,13781.2,4932.2,17117.8,12230.9,1
Concave,0.984,9991.4,3425.2,18624.8,4995.7,1
Concave,0.865,11369.5,3957.7,18092.3,4478.9,1
Concave,0.215,11714.1,9293.8,7289.3,10852.7,1
Concave,0.221,12919.9,11841.7,5716.7,12230.9,1
Concave,0.221,12058.6,11208.8,7717.5,11886.3,1
Concave,0.168,13953.5,11359.1,7127.3,13092.2,1
Concave,0.384,12747.7,8686.4,10690.9,10163.7,1
Concave,0.327,13436.7,10303.7,9067.3,12403.1,1
Concave,0.23,14814.8,12514.9,7747.3,13953.5,1
Concave,0.265,16365.2,12662.4,6767.8,16537.5,1
Concave,0.348,15503.9,14408.9,5239.6,14642.6,1
Concave,0.477,13609,7046.9,14321.1,8613.3,1
Concave,0.996,14125.8,2345.7,19704.3,17743.4,1
Concave,0.904,10508.2,3556.5,18493.5,10680.5,1
Concave,0.96,11025,5979.7,16070.3,11886.3,1
Concave,0.181,14470.3,13302.9,4009.1,15676.2,1
Concave,0.415,11886.3,10143,8820,10508.2,1
Concave,0.47,11714.1,6733.8,11751.2,12575.4,1
Concave,0.51,11714.1,3528,18081,11025,1
Concave,1.038,12230.9,8294,13756,12403.1,1
Concave,1.131,12058.6,6982.5,15067.5,12403.1,1
Concave,0.1,15159.4,14031.8,8018.2,14814.8,1
Concave,0.086,11714.1,5512.5,14175,12575.4,1
Concave,0.762,12058.6,8628.3,10162.2,11541.8,1
Concave,0.525,11025,5649.2,16400.8,13092.2,1
Concave,0.674,13092.2,6742.6,15307.4,14814.8,1
Concave,0.526,12058.6,8564.9,12027.3,12403.1,1
Concave,0.328,13264.5,10895.3,11154.7,13264.5,1
Concave,0.596,12403.1,9328.8,12155.8,11886.3,1
Concave,0.145,12747.7,8382.6,10933.9,10852.7,1
Concave,0.18,11025,6225.9,13489.4,11025,1
Concave,0.69,10335.9,6656.6,11649.1,16537.5,1
Concave,0.715,8268.8,2075.3,17840.8,3789.8,1
Concave,2.903,10163.7,5049.6,14138.9,5340.2,1
Concave,0.835,8785.5,1607.8,20442.2,5340.2,1
Concave,0.92,11369.5,4009.1,15854.1,11541.8,1
Concave,0.713,9302.3,3858.8,17364.4,8613.3,1
Concave,1.115,8957.8,2564,17178.5,8441,1
Concave,0.966,11714.1,6750,15300,8268.8,1
Concave,0.296,11714.1,10569.4,8564.9,11369.5,1
Concave,0.467,13781.2,11466,7644,12403.1,1
Concave,0.269,13609,12250,7622.2,12403.1,1
Concave,0.688,16709.8,14760.7,4555.8,16882,1
Concave,0.193,16882,12574,6560.3,18604.7,1
Concave,0.855,11714.1,5831.4,16218.6,14814.8,1
Concave,0.573,11886.3,10569.4,11480.6,13436.7,1
Concave,0.45,10163.7,4410,17640,10680.5,1
Concave,0.855,8441,3277.7,18772.3,3445.3,1
Concave,0.6,10508.2,5065.5,14898.6,8785.5,1
Concave,0.803,10508.2,5690.3,15885.5,11025,1
Concave,0.891,12919.9,8628.3,13421.7,10163.7,1
Concave,1.659,11541.8,7107,14943,13781.2,1
Concave,0.83,11714.1,5620.6,16429.4,13781.2,1
Concave,0.544,10680.5,6924.8,15125.2,7235.2,1
Concave,0.703,10163.7,6195.9,15854.1,6546.1,1
Concave,0.962,12919.9,7993.1,13505.6,13609,1
Concave,1.011,11541.8,5175,16875,7062.9,1
Concave,0.358,11369.5,9385.5,4522.8,11197.3,1
Concave,0.451,9474.6,6582.6,9304.1,7579.7,1
Concave,0.397,9819.1,5284.7,12027.3,9646.9,1
Concave,0.319,8957.8,3445.3,18604.7,3445.3,1
Concave,1.056,11714.1,6378.1,15671.9,8785.5,1
Concave,0.297,13264.5,9111.6,11845,12919.9,1
Concave,0.112,12403.1,10569.4,4373.6,12403.1,1
Concave,0.397,9819.1,3675,18375,8096.5,1
Concave,0.685,8957.8,5102.5,14214,5512.5,1
Concave,0.598,10508.2,5168,13953.5,9991.4,1
Concave,0.107,16020.7,12635.4,6937.1,16020.7,1
Concave,0.119,15676.2,8877.3,10788.9,15848.4,1
Concave,0.683,8441,1198.4,19173.9,7407.4,1
Concave,0.834,8613.3,1951.3,17952.2,2067.2,1
Concave,0.334,13436.7,8343.2,10528.4,13436.7,1
Concave,0.112,16709.8,14031.8,5649.2,18087.9,1
Concave,0.153,11369.5,6809.6,11997.8,12058.6,1
Concave,0.775,4306.6,3421.6,15587.1,4306.6,1
Concave,0.52,12403.1,9922.5,9371.2,10335.9,1
Concave,0.778,11025,8564.9,11662.8,10335.9,1
Concave,0.52,10852.7,8496.3,11935.3,10163.7,1
Concave,0.772,10508.2,7289.3,11845,12403.1,1
Concave,0.404,11369.5,7289.3,11116.1,10852.7,1
Concave,0.382,11025,6300,15750,10163.7,1
Constant,0.578,13092.2,9840.5,8747.1,11714.1,0
Constant,0.659,12403.1,8214.7,13835.3,8957.8,0
Constant,0.952,11197.3,7056,14994,9646.9,0
Constant,0.59,9991.4,4823.4,11369.5,5168,0
Constant,0.872,12230.9,9111.6,7289.3,11197.3,0
Constant,0.554,11197.3,9476,5466.9,10680.5,0
Constant,0.323,12575.4,9840.5,6013.6,9991.4,0
Constant,0.655,13092.2,10061.7,9205.3,10163.7,0
Constant,0.832,12919.9,9535.1,10429.1,9646.9,0
Constant,0.589,4823.4,3644.6,4191.3,4995.7,0
Constant,0.926,16709.8,12886.4,8877.3,14125.8,0
Constant,0.83,13264.5,9079.4,12970.6,10335.9,0
Constant,0.658,9130.1,7289.3,4009.1,8957.8,0
Constant,0.976,13092.2,10933.9,5831.4,15159.4,0
Constant,1.794,11541.8,9476,4373.6,11714.1,0
Constant,0.935,11369.5,9840.5,5284.7,10680.5,0
Constant,1.041,11197.3,7948.3,8204.7,10163.7,0
Constant,0.785,8268.8,3458.8,11241.2,6029.3,0
Constant,0.705,11714.1,8268.8,13280.1,13953.5,0
Constant,0.933,9302.3,4562.1,14636.6,7579.7,0
Constant,0.748,11197.3,6501.9,15265.4,6546.1,0
Constant,2.646,13092.2,9293.8,10751.7,9302.3,0
Constant,1.108,8613.3,6742.6,4738,8613.3,0
Constant,0.196,10680.5,7875,5355,10852.7,0
Constant,0.912,7062.9,2551.2,10751.7,5340.2,0
Constant,1.048,12230.9,5649.2,13849.6,5857,0
Constant,0.332,11025,8382.6,4738,10508.2,0
Constant,1.866,12747.7,8929.3,11480.6,10680.5,0
Constant,2.221,14298,10412.5,11637.5,10680.5,0
Constant,0.95,12575.4,6441.6,15608.4,6718.4,0
Constant,1.898,11369.5,9476,4009.1,10335.9,0
Constant,2.046,15848.4,11912.1,9377.6,16193,0
Constant,4.693,12575.4,9124.1,7856.9,11886.3,0
Constant,1.03,11369.5,8018.2,8686.4,13092.2,0
Constant,0.453,12403.1,10751.7,4009.1,12575.4,0
Constant,1.015,10680.5,6586.4,10595.5,8268.8,0
Constant,0.624,17743.4,13894.5,7551.4,19293.8,0
Constant,0.604,13781.2,11116.1,5831.4,14125.8,0
Constant,1.2,13781.2,10131.1,11025,10852.7,0
Constant,1.555,15848.4,13849.6,5466.9,15503.9,0
Constant,1.076,13953.5,11298.3,6924.8,12575.4,0
Constant,1.048,10680.5,6757.3,11380.6,8785.5,0
Constant,0.525,12919.9,11287.5,5512.5,12403.1,0
Constant,0.738,11197.3,6742.6,12027.3,11025,0
Constant,0.466,7062.9,4920.2,9658.3,6890.6,0
Constant,0.518,11369.5,7112.9,13870.2,11369.5,0
Constant,0.201,14642.6,11205.7,7591,14814.8,0
Constant,0.482,12230.9,6784.6,11873.1,12403.1,0
Constant,1.305,12747.7,5512.5,15618.8,12747.7,0
Constant,0.664,12747.7,8480.8,13569.2,8613.3,0
Constant,0.69,12575.4,6615,15435,9474.6,0
Constant,0.854,16020.7,12209.5,8929.3,12230.9,0
Constant,0.311,12747.7,9894.2,7350,13264.5,0
Constant,2,12058.6,9840.5,4920.2,11541.8,0
Constant,0.749,12058.6,6930,11970,12403.1,0
Constant,1.268,14470.3,11576.2,8268.8,12403.1,0
